2316680008827097736;1;20;NULL;0;40;NULL;NULL;NULL;NULL;80;NULL;NULL;760;NULL;NULL;NULL;1
2316680043186821751;4;5333;25;0;695;584;238792;149584;18;136;3;NULL;57577;8;NULL;NULL;0
2316680043186822428;1;1133;3;0;90;NULL;11288;NULL;NULL;80;NULL;NULL;2245;NULL;NULL;NULL;0
2316680043186824273;3;7440;27;0;500;NULL;284614;146535;NULL;141;NULL;NULL;59762;6;NULL;NULL;0
2316680043186827909;2;1939;4;0;90;NULL;21036;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316680043186829958;1;102;NULL;0;90;NULL;3606;NULL;NULL;80;NULL;NULL;760;NULL;NULL;NULL;0
2316680043186834056;7;3874;21;0;365;NULL;191442;78624;NULL;80;NULL;NULL;39413;3;NULL;NULL;0
2316680043186836105;4;927;4;0;90;NULL;16728;NULL;NULL;80;NULL;NULL;3575;NULL;NULL;NULL;0
2316680077546560120;5;13182;28;1;2830;2828;833069;732988;98;131;1;NULL;133850;16;NULL;NULL;0
2316680077546560796;1;315;3;0;90;NULL;9928;NULL;NULL;80;NULL;NULL;2505;NULL;NULL;NULL;0
2316680077546561413;1;450;3;0;90;NULL;11288;NULL;NULL;80;NULL;NULL;2505;NULL;NULL;NULL;0
2316680077546562641;1;335;4;0;90;NULL;19600;NULL;NULL;80;NULL;NULL;3900;NULL;NULL;NULL;0
2316680077546564349;2;6092;24;1;455;180;215302;134046;NULL;106;NULL;NULL;52190;7;NULL;NULL;0
2316680077546566278;3;3431;16;0;215;NULL;112894;46584;NULL;85;NULL;NULL;30835;1;NULL;NULL;0
2316680077546568327;2;9315;22;0;400;305;188689;111260;NULL;147;NULL;NULL;43726;6;NULL;NULL;1
2316680077546570376;1;717;7;0;105;NULL;41032;NULL;NULL;80;NULL;NULL;6680;NULL;NULL;NULL;0
2316680077546572425;1;1087;13;0;195;NULL;82969;36753;NULL;80;NULL;NULL;26331;1;NULL;NULL;1
2316680077546574474;6;17299;29;1;726;336;355011;174013;NULL;104;NULL;NULL;61577;11;NULL;NULL;1
2316680111906298489;1;4877;25;1;570;NULL;258078;123362;NULL;112;NULL;NULL;50673;8;NULL;NULL;0
2316680111906299164;1;4129;21;1;540;457;188800;167758;6;85;1;NULL;53751;9;NULL;NULL;0
2316680111906299782;1;4653;25;1;510;3;254657;117275;NULL;84;NULL;NULL;52765;7;NULL;NULL;0
2316680111906301010;1;374;3;0;90;NULL;9928;NULL;NULL;80;NULL;NULL;2505;NULL;NULL;NULL;0
2316680111906302717;4;1484;13;0;195;NULL;110803;44320;NULL;80;NULL;NULL;27791;1;NULL;NULL;0
2316680111906304647;1;526;NULL;0;40;NULL;NULL;NULL;NULL;80;NULL;NULL;840;NULL;NULL;NULL;0
2316680111906306696;1;6242;25;1;450;240;227855;138161;NULL;86;NULL;NULL;58213;6;NULL;NULL;0
2316680111906308745;2;2732;11;0;165;NULL;68672;33753;NULL;80;NULL;NULL;23340;1;NULL;NULL;1
